"nombre";"sexo";"2015";"2016";"2017";"2018";"2019";"2020";"n_total"
"Nelson";"M";"60";"48";"49";"32";"44";"35";"268"
"Leonidas";"M";"61";"42";"51";"45";"41";"27";"267"
"Brayan";"M";"80";"55";"44";"28";"27";"32";"266"
"Andy";"M";"72";"43";"45";"46";"34";"26";"266"
"Alessandro";"M";"23";"26";"43";"53";"63";"58";"266"
"Richard";"M";"51";"48";"40";"42";"35";"44";"260"
"Bastian";"M";"41";"48";"39";"40";"41";"47";"256"
"Tomas";"M";"44";"22";"29";"48";"66";"46";"255"
"Steven";"M";"54";"56";"31";"39";"38";"31";"249"
"Alfredo";"M";"55";"48";"43";"38";"35";"29";"248"
"Bernardo";"M";"51";"46";"46";"36";"41";"27";"247"
"Teo";"M";"41";"45";"28";"45";"45";"42";"246"
"Lyam";"M";"22";"24";"25";"42";"56";"77";"246"
"Nicolas";"M";"48";"38";"36";"40";"44";"39";"245"
"Said";"M";"46";"42";"31";"45";"39";"41";"244"
"Eluney";"M";"25";"30";"44";"30";"52";"63";"244"
"Santi";"M";NA;"19";"20";"67";"71";"66";"243"
"Abel";"M";"44";"28";"31";"36";"58";"45";"242"
"James";"M";"41";"46";"40";"41";"44";"30";"242"
"Bryan";"M";"64";"47";"30";"35";"32";"28";"236"
"Patrick";"M";"37";"41";"53";"45";"26";"32";"234"
"Inti";"M";"43";"41";"42";"33";"34";"40";"233"
"Tobías";"M";NA;"39";"55";"49";"41";"48";"232"
"Alonzo";"M";"54";"27";"34";"39";"37";"39";"230"
"Bayron";"M";"77";"43";"26";"24";"26";"22";"218"
"Amir";"M";"40";"33";"39";"36";"32";"36";"216"
"Luca";"M";"32";"30";"26";"44";"42";"42";"216"
"Saúl";"M";"28";"30";"28";"41";"52";"35";"214"
"Zaid";"M";NA;NA;"26";"57";"62";"68";"213"
"Nathan";"M";"23";"23";"25";"42";"42";"54";"209"
"Kylian";"M";NA;NA;NA;"57";"87";"63";"207"
"Osvaldo";"M";"50";"34";"31";"35";"31";"23";"204"
"Dariel";"M";"39";"37";"34";"41";"25";"28";"204"
"Ramiro";"M";"34";"30";"34";"36";"35";"30";"199"
"Edison";"M";"52";"44";"26";"34";"18";"21";"195"
"Jairo";"M";"52";"42";"19";"31";"24";"24";"192"
"Dorian";"M";"47";"29";"18";"32";"26";"40";"192"
"Joan";"M";"46";"32";"27";"28";"33";"26";"192"
"Dereck";"M";"19";"24";"42";"32";"35";"39";"191"
"Damian";"M";"37";"39";"27";"19";"34";"29";"185"
"Adriel";"M";"16";"26";"18";"26";"31";"68";"185"
"Jared";"M";"19";"19";"26";"29";"38";"53";"184"
"Aron";"M";"44";"39";"23";"29";"20";"28";"183"
"Mathías";"M";"26";"35";"25";"34";"32";"27";"179"
"Silvestre";"M";"30";"20";"34";"26";"35";"31";"176"
"Boris";"M";"36";"38";"31";"21";"28";"21";"175"
"Didier";"M";"39";"36";"30";"26";"23";"18";"172"
"Yahir";"M";"37";"30";"39";NA;"32";"31";"169"
"Andrew";"M";"22";"38";"23";"25";"38";"22";"168"
"Chris";"M";"27";"19";"29";"36";"28";"28";"167"
"Logan";"M";"27";"24";"26";"23";"16";"50";"166"
"Izan";"M";"20";"20";"16";"36";"34";"39";"165"
"Ihan";"M";"32";"34";"23";"25";"27";"22";"163"
"Antuan";"M";"27";"27";"29";"23";"27";"30";"163"
"Fabio";"M";"20";"19";"15";"31";"42";"36";"163"
"René";"M";"35";"45";"20";"21";"21";"20";"162"
"Anderson";"M";"23";"26";"20";"31";"25";"37";"162"
"Lucciano";"M";"26";"28";"24";"28";"26";"29";"161"
"Ulises";"M";"38";"24";"18";"22";"30";"28";"160"
"Ernesto";"M";"27";"27";"28";"29";"27";"22";"160"
"Eric";"M";"33";"33";"27";"21";"22";"23";"159"
"Paul";"M";"24";"24";"21";"34";"32";"24";"159"
"Aquiles";"M";"28";"33";"30";"33";"16";"18";"158"
"Robert";"M";"34";"23";"19";"23";"31";"27";"157"
"Vladimir";"M";"28";"24";"25";"26";"28";"24";"155"
"André";"M";"29";"21";"27";"25";"25";"27";"154"
"Leon";"M";"24";"31";"19";"23";"34";"23";"154"
"Nehemías";"M";"19";"22";"26";"29";"23";"33";"152"
"Luan";"M";NA;"22";"26";"31";"35";"38";"152"
"Alen";"M";"33";"26";"18";"24";"22";"27";"150"
"Nehemias";"M";"28";"24";"24";"23";"22";"29";"150"
"Victor";"M";"32";"20";"27";"17";"22";"29";"147"
"Gerald";"M";"30";"22";"25";"30";"18";"22";"147"
"Eythan";"M";NA;"28";"17";"31";"48";"23";"147"
"Giuliano";"M";"34";"24";"28";"20";"20";"20";"146"
"Jordan";"M";"31";"23";"25";"20";"26";"21";"146"
"Erik";"M";"30";"20";"24";"18";"29";"25";"146"
